title,combined
Hunter Hunter,"joseph and his family live in the remote wilderness as fur trappers, but their tranquility is threatened when they think they are being hunted by the return of a rogue wolf, and joseph leaves them behind to track it. camillesullivan summerh.howell devonsawa shawnlinden horror thriller"
Scoob!,"scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog cerberus upon the world. as they race to stop this dogpocalypse, the gang discovers that scooby has an epic destiny greater than anyone imagined. willforte markwahlberg jasonisaacs tonycervone animation adventure comedy"
Hillbilly Elegy,"an urgent phone call pulls a yale law student back to his ohio hometown, where he reflects on three generations of family history and his own future. amyadams glennclose gabrielbasso ronhoward drama"
The Silencing,a reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local sheriff set out to track a vicious killer who may have kidnapped his daughter years ago. nikolajcoster-waldau calebellsworth-clark joshcruddas robinpront action crime thriller
Four Good Days,a mother helps her daughter work through four crucial days of recovery from substance abuse. glennclose milakunis stephenroot rodrigogarcía drama
Spontaneous,"get ready for the outrageous coming-of-age love story about growing up...and blowing up. when students in their school begin exploding (literally), seniors mara and dylan struggle to survive in a world where each moment may be their last. katherinelangford charlieplummer yvonneorji brianduffield comedy horror romance"
The Rhythm Section,a woman seeks revenge against those who orchestrated a plane crash that killed her family. blakelively richardbrake ellycurtis reedmorano action drama mystery
The Rental,two couples rent a vacation home for what should be a celebratory weekend get-away. danstevens alisonbrie sheilavand davefranco drama horror mystery
Nocturne,an incredibly gifted pianist makes a faustian bargain to overtake her older sister at a prestigious institution for classical musicians. sydneysweeney madisoniseman jacquescolimon zuquirke horror mystery thriller
Anything for Jackson,a bereaved satanist couple kidnap a pregnant woman so they can use an ancient spellbook to put their dead grandson's spirit into her unborn child but end up summoning more than they bargained for. sheilamccarthy julianrichings konstantinamantelos justing.dyck horror
Kajillionaire,a woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning. richardjenkins debrawinger evanrachelwood mirandajuly comedy crime drama
Sergio,"a sweeping drama set in the chaotic aftermath of the us invasion of iraq, where the life of top un diplomat sergio vieira de mello hangs in the balance during the most treacherous mission of his career. wagnermoura anadearmas bríanf.o'byrne gregbarker biography drama history"
French Exit,an aging manhattan socialite living on what's barely left of her inheritance moves to a small apartment in paris with her son and cat. michellepfeiffer lucashedges tracyletts azazeljacobs comedy drama
Blithe Spirit,"a spiritualist medium holds a seance for a writer suffering from writer's block but accidentally summons the spirit of his deceased first wife, which leads to an increasingly complex love triangle with his current wife of five years. danstevens islafisher aimee-ffionedwards edwardhall comedy fantasy romance"
The Tax Collector,"a ""tax collector"" working for a local crime lord finds his family's safety compromised when the rival of his boss shows up in l.a. and upends the business. bobbysoto cinthyacarmona shialabeouf davidayer action crime drama"
The Wrong Missy,"tim thinks he's invited the woman of his dreams on a work retreat to hawaii, realizing too late he mistakenly texted someone from a nightmare blind date. davidspade laurenlapkus nickswardson tylerspindel comedy romance"
Psycho Goreman,"after unearthing a gem that controls an evil monster looking to destroy the universe, a young girl and her brother use it to make him do their bidding. nita-joseehanna owenmyre matthewninaber stevenkostanski comedy horror sciencefiction"
Black Bear,"a filmmaker at a creative impasse seeks solace from her tumultuous past at a rural retreat, only to find that the woods summon her inner demons in intense and surprising ways. aubreyplaza christopherabbott sarahgadon lawrencemichaellevine comedy drama"
Spell,a man crash lands in rural appalachia and awakens in the attic of a traditional hoodoo practitioner. he desperately tries to break free from her dark magic and save his family from a sinister ritual before the rise of the blood moon. omarihardwick lorettadevine lorraineburroughs marktonderai horror thriller
Persian Lessons,a young jewish man pretends to be iranian to avoid being executed in a concentration camp. nahuelpérezbiscayart larseidinger jonasnay vadimperelman drama war
Wander,"after getting hired to probe a suspicious death in the small town of wander, a mentally unstable private investigator becomes convinced the case is linked to the same 'conspiracy cover up' that caused the death of his daughter. aaroneckhart tommyleejones katherynwinnick aprilmullen thriller"
The Education of Fredrick Fitzell,"after a chance encounter with a man forgotten from his youth, fred literally and metaphorically journeys into his past. liisarepo-martell dylano'brien hannahgross christophermacbride drama mystery thriller"
WolfWalkers,"a young apprentice hunter and her father journey to ireland to help wipe out the last wolf pack. but everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night. honorkneafsey evawhittaker seanbean tommmoore,rossstewart animation adventure family"
Kimetsu no Yaiba: Natagumo Yama Hen,tanjiro teams up with zenitsu and inosuke to investigate missing person cases on the mountain natagumo. they slowly begin to realize the entire mountain is being controlled by a family of demon spider creatures. nan haruosotozaki animation action fantasy
W lesie dzis nie zasnie nikt,a group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods. juliawieniawa-narkiewicz michallupa wiktoriagasiewska bartoszm.kowalski horror thriller
Becky,"a teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives. luluwilson kevinjames joelmchale jonathanmilott,carymurnion action crime drama"
